,SMIC,HuaHong,Nexchip,GigaDevice,Montage,OmniVision,SGMicro,Novosense,Ingenic,Biren,Iluvatar,Horizon,BlackSesame,Innoscience,SICC,Gpixel,ASMPT,CFMEE,NSing,Fortior,Axera,HSTECH
SMIC,1.0,0.7617207896342102,0.6476376040296378,0.6248908504514732,0.5972373010095059,0.5659332985832662,0.3766692033876267,0.5954422490334774,0.29344451210560063,0.5175529665706279,0.5801635603676084,0.27375906675349815,0.28811551177006567,0.4943313133024043,0.4698095510852486,0.5092447798947711,0.6312371209518488,0.6502028841312922,0.2646158579886547,0.5262404909014358,0.4278981710616342,0.5133086826011587
HuaHong,0.7617207896342102,1.0,0.6601281550499633,0.5780102409233278,0.6018892168003805,0.5037867596442289,0.42580973126595556,0.5151216073202161,0.21346482979745435,0.5606238686804872,0.5427450983691993,0.14158218983647913,0.20001421285910015,0.5078941989057635,0.45447177859174415,0.4671677394933855,0.6300808950618405,0.5471431649039157,0.3055067331421834,0.4564529781563725,0.4178975929574551,0.39460639492521155
Nexchip,0.6476376040296378,0.6601281550499633,1.0,0.6944130491200025,0.6097939456162668,0.54365425548031,0.5619028884839502,0.6267787232636346,0.8147012312575779,0.656165292231233,0.6432994605131435,-0.02776167019170196,0.37782325191453636,0.6712369155982361,0.6114838170011654,0.6359213365817286,0.6825741381579234,0.43215137076048005,0.6562588589694951,0.6429281964008362,0.4104979855312966,0.31369782251214656
GigaDevice,0.6248908504514732,0.5780102409233278,0.6944130491200025,1.0,0.7254853357238175,0.43099708393662095,0.29149000719732676,0.557114354437178,0.7811331801054774,0.5201985193845238,0.49357183748037203,0.08612633049376645,0.19469463455027194,0.5109578775875915,0.523602948622649,0.4768134142013209,0.6517821595914586,0.48807906231112125,0.31901993303035847,0.39867987585458664,0.3820262603743236,0.24810724897610437
Montage,0.5972373010095059,0.6018892168003805,0.6097939456162668,0.7254853357238175,1.0,0.45921025174205804,0.3191708235414128,0.5677788675762351,0.4682396059863333,0.438009449281705,0.4730523487384105,0.06721441227776748,0.2025817386905473,0.5922287211409153,0.53144866009885,0.3721876688139802,0.665340947468917,0.48479860152271254,0.3448607736004104,0.42210732049150324,0.39135145261468685,0.23946357397108625
OmniVision,0.5659332985832662,0.5037867596442289,0.54365425548031,0.43099708393662095,0.45921025174205804,1.0,0.3588526857255843,0.3147097981607932,0.4363644842065013,0.2672559678436054,0.36373534473205626,0.3713603597666528,0.29420213944037565,0.409325108615323,0.39091666378015244,0.33608677632041334,0.5093809496612003,0.22202571153394374,0.17193905393700193,0.5020740800439275,0.37837981725884784,0.46322018452896063
SGMicro,0.3766692033876267,0.42580973126595556,0.5619028884839502,0.29149000719732676,0.3191708235414128,0.3588526857255843,1.0,0.5077473552429426,0.3008202529847998,0.4031111117079527,0.46107348032141887,-0.12498929252451416,0.216737670261333,0.4959802516733362,0.5389167605866086,0.5027407388971713,0.4246706936787897,0.5440941617355208,0.5648164686802686,0.4287147726939056,0.29991521969731294,0.38459050506522074
Novosense,0.5954422490334774,0.5151216073202161,0.6267787232636346,0.557114354437178,0.5677788675762351,0.3147097981607932,0.5077473552429426,1.0,0.7680619115304463,0.4792564303088836,0.4797152783754108,0.08163041235424826,0.21946765111234576,0.4873903404469495,0.5741049043609581,0.34297899629952316,0.5178978012707948,0.437138636318723,0.3863467591304723,0.48699277054354645,0.37581205037295445,0.28441812435552805
Ingenic,0.29344451210560063,0.21346482979745435,0.8147012312575779,0.7811331801054774,0.4682396059863333,0.4363644842065013,0.3008202529847998,0.7680619115304463,1.0,0.40789633316489626,0.378641561110715,0.2035211715512088,-0.29495506815820244,0.19903184726565087,0.5701998920915855,0.04115432424103034,0.51853976960567,0.2772027950623257,0.4206392834810821,0.5129917713265973,-0.13463164119060195,-0.18914605959127942
Biren,0.5175529665706279,0.5606238686804872,0.656165292231233,0.5201985193845238,0.438009449281705,0.2672559678436054,0.4031111117079527,0.4792564303088836,0.40789633316489626,1.0,0.595545704663436,0.2267555892014102,0.2964461231133422,0.4811104263634026,0.3081095507156255,0.40176093205758107,0.533308512012351,0.5749524051033685,0.2792438598839071,0.4573634885248121,0.5536164705598714,0.4562031701296368
