List of Designated Securities Eligible for Short Selling,
Effective date : 11/09/2026,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
516,2585,MOKINGRAN,HKD,EQTY,,,
517,2586,DMALL,HKD,EQTY,,Add,
518,2588,BOC AVIATION,HKD,EQTY,,,
519,2589,AUNTEA JENNY,HKD,EQTY,,,
520,2590,GEEKPLUS-W,HKD,EQTY,,,
521,2591,INNOGEN-B,HKD,EQTY,,,
522,2595,GENFLEET-B,HKD,EQTY,,,
523,2596,YIBIN BANK,HKD,EQTY,,,
524,2600,CHALCO,HKD,EQTY,,,
525,2601,CPIC,HKD,EQTY,,,
526,2602,ONEWO,HKD,EQTY,,,
527,2607,SH PHARMA,HKD,EQTY,,,
528,2609,BAYZED HEALTH,HKD,EQTY,,,
529,2610,NANSHAN AL INTL,HKD,EQTY,,,
530,2611,GTHT,HKD,EQTY,,,
531,2616,CSTONE PHARMA-B,HKD,EQTY,,,
532,2617,TRANSTHERA-B,HKD,EQTY,,,
533,2618,JD LOGISTICS,HKD,EQTY,,,
534,2628,CHINA LIFE,HKD,EQTY,,,
535,2629,MIRXES-B,HKD,EQTY,,,
536,2630,VIGONVITA-B,HKD,EQTY,,,
537,2631,SICC,HKD,EQTY,,,
538,2632,NEW VISION CO,HKD,EQTY,,,
539,2635,NUOBIKAN,HKD,EQTY,,,
540,2637,HAIXI PHARMA,HKD,EQTY,,,
541,2638,HKELECTRIC-SS,HKD,EQTY,,,
542,2643,CAOCAO INC,HKD,EQTY,,,
543,2648,ANJOY FOOD,HKD,EQTY,,,
544,2650,ZHIDA TECH,HKD,EQTY,,Add,
545,2652,CF PHARMTECH,HKD,EQTY,,,
546,2655,GUOXIA TECH,HKD,EQTY,,,
547,2656,160 HEALTH,HKD,EQTY,,,
548,2658,TIANYU SEMI,HKD,EQTY,,,
549,2665,SEYOND,HKD,EQTY,,Add,
550,2666,UNI MEDICAL,HKD,EQTY,,,
551,2669,CHINA OVS PPT,HKD,EQTY,,,
552,2670,YUNJI,HKD,EQTY,,,
553,2675,EDGE MEDICAL-B,HKD,EQTY,,Add,
554,2676,NOVOSENSE,HKD,EQTY,,,
555,2678,TEXHONG INTL GP,HKD,EQTY,,,
556,2685,QUANTGROUP,HKD,EQTY,,,
557,2687,ABLE DIGITAL,HKD,EQTY,,,
558,2688,ENN ENERGY,HKD,EQTY,,,
559,2689,ND PAPER,HKD,EQTY,,,
560,2696,HENLIUS,HKD,EQTY,,,
561,2698,SOFTCARE,HKD,EQTY,,,
562,2706,HAIZHI TECH GP,HKD,EQTY,,Add,
563,2714,MUYUAN,HKD,EQTY,,,
564,2718,MININGLAMP-W,HKD,EQTY,,,
565,2722,CHONGQING M&E,HKD,EQTY,,,
566,2723,DEEPZERO,HKD,EQTY,,Add,
567,2726,EPIWORLD,HKD,EQTY,,Add,
568,2727,SH ELECTRIC,HKD,EQTY,,,
569,2729,GALAXIS TECH,HKD,EQTY,,,
570,2778,CHAMPION REIT,HKD,TRST,,,
571,2788,CHUANGXIN IND,HKD,EQTY,,,
572,2799,CITIC FAMC,HKD,EQTY,,,
573,2800,TRACKER FUND,HKD,TRST,YES,,
574,2801,ISHARES CHINA,HKD,TRST,YES,,
575,2802,A CSOP HSCEICC,HKD,TRST,,,
576,2803,PP BEDROCK,HKD,TRST,YES,,
577,2804,PREMIA VIET,HKD,TRST,YES,,
578,2805,CG BS CNASEAN,HKD,TRST,YES,,
579,2806,GX CN CONSUME,HKD,TRST,YES,,
580,2807,GX CN ROBO&AI,HKD,TRST,YES,,
581,2809,GX CN CLN EN,HKD,TRST,YES,,
582,2810,PREMIAEMASEAN,HKD,TRST,YES,,
583,2812,SAMSUNGCDGN,HKD,TRST,YES,,
584,2814,SAMSUNG FANG,HKD,TRST,YES,,
585,2815,GX CN LIL GIANT,HKD,TRST,YES,,
586,2817,PP CGBOND,HKD,TRST,YES,,
587,2818,PANDO BITCOIN,HKD,TRST,YES,,
588,2819,ABF HK IDX ETF,HKD,TRST,YES,,
589,2820,GX CN BIOTECH,HKD,TRST,YES,,
590,2821,ABF PAIF,USD,TRST,YES,,
591,2822,CSOP A50 ETF,HKD,TRST,YES,,
592,2823,ISHARES A50,HKD,TRST,YES,,
593,2824,EFUND GOLD MI,HKD,TRST,YES,,
594,2825,WISECSIHK100ETF,HKD,TRST,YES,,
595,2826,GX CN CLOUD,HKD,TRST,YES,,
596,2827,WISE CSI300 ETF,HKD,TRST,YES,,
597,2828,HSCEI ETF,HKD,TRST,YES,,
598,2829,ISHARESCGB,HKD,TRST,YES,,
599,2830,CSOP SAUDI,HKD,TRST,YES,,
600,2832,BOSERA STAR50,HKD,TRST,YES,,
601,2834,ISHARESND100,HKD,TRST,YES,,
602,2835,PHILLIP HKNEWEQ,HKD,TRST,YES,,
603,2836,ISHARES INDIA,HKD,TRST,YES,,
604,2837,GX HS TECH,HKD,TRST,YES,,
605,2838,HS FCI50 ETF,HKD,TRST,YES,,
606,2839,CAM MSCI A50,HKD,TRST,YES,,
607,2840,SPDR GOLD TRT,HKD,TRST,YES,,
608,2841,GX CN MEDTECH,HKD,TRST,YES,,
609,2843,AMUNDI A50,HKD,TRST,YES,,
610,2845,GX CN EV BATT,HKD,TRST,YES,,
611,2846,ISHARESCSI300,HKD,TRST,YES,,
612,2848,TRMSCIKOREA,HKD,TRST,YES,,
613,2858,YIXIN,HKD,EQTY,,,
614,2865,DRINDA,HKD,EQTY,,,
615,2866,COSCO SHIP DEV,HKD,EQTY,,,
616,2869,GREENTOWN SER,HKD,EQTY,,,
617,2877,SHINEWAY PHARM,HKD,EQTY,,,
618,2883,CHINA OILFIELD,HKD,EQTY,,,
619,2888,STANCHART,HKD,EQTY,,,
620,2889,PATEO,HKD,EQTY,,,
621,2899,ZIJIN MINING,HKD,EQTY,,,
622,3001,PP CNUSDPROP,HKD,TRST,YES,,
623,3002,A MBC BTCGOLD,HKD,TRST,YES,,
624,3003,CSOP MSCI A 50,HKD,TRST,YES,,
625,3004,CSOP VIETNAM30,HKD,TRST,YES,,
626,3005,X CSOPCSI500,HKD,TRST,YES,,
627,3006,A GX AI TECH,HKD,TRST,,,
628,3007,TR MSCI CHINA A,HKD,TRST,YES,,
629,3008,BOS HSK BTC,HKD,TRST,YES,,
630,3009,BOS HSK ETH,HKD,TRST,YES,,
631,3010,ISHARES AXJ,HKD,TRST,YES,,
632,3011,A CICC USD,HKD,TRST,YES,,
633,3012,AMUNDI HK35,HKD,TRST,YES,,
634,3015,X TRNIFTY50,HKD,TRST,YES,,
635,3020,X TRMSCIUSA,HKD,TRST,YES,,
636,3024,WISE SSE50ETF,HKD,TRST,YES,,
637,3029,GX HS ESG,HKD,TRST,YES,,
638,3030,CSOP GOLD,HKD,TRST,YES,,
639,3031,FG HS HIGHDIV,HKD,TRST,YES,,
640,3032,HSTECH ETF,HKD,TRST,YES,,
641,3033,CSOP HS TECH,HKD,TRST,YES,,
642,3034,CSOP NASDAQ100,HKD,TRST,YES,,
643,3036,TRMSCITAIWAN,HKD,TRST,YES,,
644,3037,CSOP HSI ETF,HKD,TRST,YES,,
645,3038,HS ALOWCARBON,HKD,TRST,YES,,
646,3039,EFUNDHSIESG,HKD,TRST,YES,,
647,3040,GX MSCI CHINA,HKD,TRST,YES,,
648,3041,GX CN PB BOND,HKD,TRST,YES,,
649,3042,CAM BTC,HKD,TRST,YES,,
650,3046,CAM ETH,HKD,TRST,YES,,
651,3047,F SSIFIRONORE,HKD,TRST,YES,,
652,3050,GX CN GL LEADER,HKD,TRST,YES,,
653,3053,A CSOP HKD MM,HKD,TRST,YES,,
654,3056,A PANDO INNO,HKD,TRST,,,
655,3059,GX AGREENBOND,HKD,TRST,YES,,
656,3064,GX APAC,HKD,TRST,YES,,
657,3066,FA CSOP BTC,HKD,TRST,YES,,
658,3067,ISHARESHSTECH,HKD,TRST,YES,,
659,3068,FA CSOP ETH,HKD,TRST,YES,,
660,3069,CAM HSBIOTECH,HKD,TRST,YES,,
661,3070,PING AN HKDIV,HKD,TRST,YES,,
662,3071,A CICC HKD,HKD,TRST,YES,,
663,3074,ISHARESMSCITW,HKD,TRST,YES,,
664,3075,GX ASUSD BOND,HKD,TRST,YES,,
665,3076,FB TW SEMICON,HKD,TRST,YES,,
666,3077,PREMIA UST,HKD,TRST,YES,,
667,3081,VALUEGOLD ETF,HKD,TRST,YES,,
668,3084,A GX INDIA,HKD,TRST,,,
669,3085,PANDO ETH,HKD,TRST,YES,,
670,3086,CAM NASDAQ100,HKD,TRST,YES,,
671,3087,X TRVIET,HKD,TRST,YES,,
672,3088,CAM HS TECH,HKD,TRST,YES,,
673,3096,A CSOP USD MM,HKD,TRST,YES,,
674,3097,F GX OIL,HKD,TRST,YES,,
675,3101,CSOP A500,HKD,TRST,YES,,
676,3102,ICBCU KS KWEB,HKD,TRST,YES,,
677,3104,A GX EM ASIA,HKD,TRST,,,
678,3108,HGI ESGLEADER,HKD,TRST,YES,,
679,3109,CSOP STAR 50,HKD,TRST,YES,,
680,3110,GX HS HIGHDIV,HKD,TRST,YES,,
681,3111,EFUNDMSCIA50,HKD,TRST,YES,,
682,3112,A PANDO BLKC,HKD,TRST,,,
683,3115,ISHARESHSI,HKD,TRST,YES,,
684,3116,GX AP HIGH DIV,HKD,TRST,YES,,
685,3118,HGI MSCI CN A,HKD,TRST,YES,,
686,3119,GX ASIA SEMICON,HKD,TRST,YES,,
687,3121,CSOP KOSPI,HKD,TRST,YES,,
688,3122,A CSOP RMB MM,HKD,TRST,YES,,
689,3128,HS AINDTOPETF,HKD,TRST,YES,,
690,3129,BOCGBACLIMATE,HKD,TRST,YES,,
691,3132,SAMSUNG SEMICON,HKD,TRST,YES,,
692,3133,CSOP CSI300,HKD,TRST,YES,,
693,3134,CSOP CSI PV,HKD,TRST,YES,,
694,3135,FA SAMSUNG BTC,HKD,TRST,YES,,
695,3136,HSI ESG ETF,HKD,TRST,YES,,
696,3137,A GX USD MM,HKD,TRST,YES,,
697,3139,A GX EV ROBOT,HKD,TRST,,,
698,3140,CAM HKUS AI,HKD,TRST,YES,,
699,3141,CAM ASIA IGB,HKD,TRST,YES,,
700,3145,CAM ASIA HIGHDV,HKD,TRST,YES,,
701,3146,CAM 20 UST,HKD,TRST,YES,,
702,3147,X CSOPCHINEXT,HKD,TRST,YES,,
703,3150,GX JP GL LEADER,HKD,TRST,YES,,
704,3151,PREMIA STAR50,HKD,TRST,YES,,
705,3152,A BOS HKD MM,HKD,TRST,YES,,
706,3153,CSOP NIKKEI225,HKD,TRST,YES,,
707,3156,BOS 20 UST,HKD,TRST,YES,,
708,3158,GX KPOP CULTURE,HKD,TRST,YES,,
709,3160,CAM JAPAN HDG,HKD,TRST,YES,,
710,3161,A CAM RMB MM,HKD,TRST,YES,,
711,3165,CAM EU QLTY HDG,HKD,TRST,YES,,
712,3167,ICBCCSOPCHINA,HKD,TRST,YES,,
713,3169,HGI G2 TECH 50,HKD,TRST,YES,,
714,3170,HS GOLD ETF,HKD,TRST,YES,,
715,3171,A SS BLOCKCHAIN,HKD,TRST,,,
716,3173,PP CN NEWECON,HKD,TRST,YES,,
717,3174,CSOP HSBIOTECH,HKD,TRST,YES,,
718,3175,F SAMSUNG OIL,HKD,TRST,YES,,
719,3176,A TK USD MM,HKD,TRST,YES,,
720,3179,HGI ETH,HKD,TRST,YES,,
721,3181,PREMIAASIATEC,HKD,TRST,YES,,
722,3182,WISE NEWECONESG,HKD,TRST,YES,,
723,3184,GX INDIA TOP 10,HKD,TRST,YES,,
724,3185,GX INNOVAFIN,HKD,TRST,YES,,
725,3186,EFUND BIOPHAR,HKD,TRST,YES,,
726,3187,SAMSUNG REITS,HKD,TRST,YES,,
727,3188,CAM CSI300,HKD,TRST,YES,,
728,3189,EFUND LIQUOR,HKD,TRST,YES,,
729,3190,FB SSH HIGH DIV,HKD,TRST,YES,,
730,3191,GX CN SEMICON,HKD,TRST,YES,,
731,3192,A BOS RMB MM,HKD,TRST,YES,,
732,3193,CSOP CSI 5G,HKD,TRST,YES,,
733,3195,HS S&P500,HKD,TRST,YES,,
734,3196,A BOS USD MM,HKD,TRST,YES,,
735,3199,ICBCCSOP CGPB,HKD,TRST,YES,,
736,3200,HANS CNC,HKD,EQTY,,,
737,3288,HAITIAN FLAV,HKD,EQTY,,,
738,3296,HUAQIN,HKD,EQTY,,Add,
739,3306,JNBY,HKD,EQTY,,,
740,3308,ZJ INNOLIGHT,HKD,EQTY,,,
741,3310,VIEWTRIX TECH,HKD,EQTY,,Add,
742,3311,CHINA STATE CON,HKD,EQTY,,,
743,3316,BINJIANG SER,HKD,EQTY,,,
744,3317,XUNCE,HKD,EQTY,,,
745,3319,A-LIVING,HKD,EQTY,,,
746,3320,CHINARES PHARMA,HKD,EQTY,,,
747,3323,CNBM,HKD,EQTY,,,
748,3328,BANKCOMM,HKD,EQTY,,,
749,3330,LINGBAO GOLD,HKD,EQTY,,,
750,3336,JU TENG INTL,HKD,EQTY,,,
751,3337,ANTON OILFIELD,HKD,EQTY,,,
752,3339,LONKING,HKD,EQTY,,,
753,3347,TIGERMED,HKD,EQTY,,,
754,3355,FS.COM,HKD,EQTY,,Add,
755,3360,FE HORIZON,HKD,EQTY,,,
756,3380,LOGAN GROUP,HKD,EQTY,,,
757,3393,WASION HOLDINGS,HKD,EQTY,,,
758,3396,LEGENDHOLDING,HKD,EQTY,,,
759,3401,GX AI INFRA,HKD,TRST,YES,,
760,3402,GX G2TECH,HKD,TRST,YES,,
761,3403,CAM HSI ESG,HKD,TRST,YES,,
762,3404,CAM MSCIINDIA,HKD,TRST,YES,,
763,3406,PA TECHSELECT,HKD,TRST,YES,,
764,3410,HS JAPAN TPX100,HKD,TRST,YES,,
765,3411,PP ASIA IGUSD,HKD,TRST,YES,,
766,3412,A DOO PAYMENTS,HKD,TRST,,,
767,3413,A DOO AI,HKD,TRST,,,
768,3415,A GXS&P500CC,HKD,TRST,,,
769,3416,A GX HSCEICC,HKD,TRST,,,
770,3417,A GX HSTCC,HKD,TRST,,,
771,3418,CAM DIGI GOLD,HKD,TRST,YES,,
772,3419,A GX HSICC,HKD,TRST,,,
773,3420,A VP RMB MM,HKD,TRST,YES,,
774,3421,A VP HKD MM,HKD,TRST,YES,,
775,3422,GX INNO TOP 10,HKD,TRST,YES,,
776,3423,CMS HS TECH,HKD,TRST,YES,,
777,3425,MBC ETH,HKD,TRST,YES,,
778,3426,A DOO WEB3,HKD,TRST,,,
779,3427,FB MULTIASSET,HKD,TRST,YES,,
780,3428,GX CL HK-US,HKD,TRST,YES,,
781,3430,MBC BTC,HKD,TRST,YES,,
782,3431,CSOP HKKRTECH,HKD,TRST,YES,,
783,3432,CSOP HKCNCON,HKD,TRST,YES,,
784,3433,CSOP UST20,HKD,TRST,YES,,
785,3434,EFUND DIGITAL,HKD,TRST,YES,,
786,3435,HSCMS 7-10Y UST,HKD,TRST,YES,,
787,3436,HSCMS 1-3Y UST,HKD,TRST,YES,,
788,3437,BOS CSOE HIDV,HKD,TRST,YES,,
789,3439,HGI BTC,HKD,TRST,YES,,
790,3440,GX 0-3M UST,HKD,TRST,YES,,
791,3441,CSOP EWSELECT,HKD,TRST,YES,,
792,3442,CSOP HKUSTECH,HKD,TRST,YES,,
793,3443,CSOP HK EQUITY,HKD,TRST,YES,,
794,3444,HS HK EQUITY,HKD,TRST,YES,,
795,3447,CSOP AP REITS,HKD,TRST,YES,,
796,3448,GX CHINA TECH,HKD,TRST,YES,,
797,3450,GX 3-5Y UST,HKD,TRST,YES,,
798,3451,A GXNASDAQCC,HKD,TRST,,,
799,3453,PREMIA TW50,HKD,TRST,YES,,
800,3454,CSOP MAG7,HKD,TRST,YES,,
801,3455,INVESCO QQQ,HKD,TRST,YES,,
802,3456,EFUND HKEX TECH,HKD,TRST,YES,,
803,3457,A TK HKD MM,HKD,TRST,YES,,
804,3460,CAM SOL,HKD,TRST,YES,,
805,3461,A CAM RMBTMMF,HKD,TRST,YES,,
806,3466,HS HIGH DIV,HKD,TRST,YES,,
807,3469,CSOP SCHIGHDIV,HKD,TRST,YES,,
808,3470,GX GREATERCHINA,HKD,TRST,YES,,
809,3471,A CAM HKDTMMF,HKD,TRST,YES,,
810,3472,A CAM USDTMMF,HKD,TRST,YES,,
811,3473,CSOP ASIA TECH,HKD,TRST,YES,,
812,3476,A HSJPUSINCOME,HKD,TRST,,,
813,3477,PA EW SELECT,HKD,TRST,YES,,
814,3478,PPKSA G SUKUK,HKD,TRST,YES,,
815,3480,A VP USD MM,HKD,TRST,YES,,
816,3483,EFUND APAC HD,HKD,TRST,YES,,
817,3486,EFUND A SEMICON,HKD,TRST,YES,,
818,3488,VP DIV LO VOL,HKD,TRST,YES,,
819,3489,EFUND AI,HKD,TRST,YES,,
820,3509,EFUND MPF CN A,HKD,TRST,YES,,
821,3519,A HSCEICC,HKD,TRST,,,
822,3533,XA GX GOLD CC,HKD,TRST,YES,,
823,3535,CSOP HKJPCF,HKD,TRST,YES,,
824,3537,A CSOP KOSPICC,HKD,TRST,,,
825,3555,AGX HSDIV ENH,HKD,TRST,,,
826,3579,EFUND MPF HK,HKD,TRST,YES,,
827,3589,A HSTECHCC,HKD,TRST,,,
828,3600,MODERN DENTAL,HKD,EQTY,,,
829,3606,FUYAO GLASS,HKD,EQTY,,,
830,3613,TONGRENTANGCM,HKD,EQTY,,,
831,3618,CQRC BANK,HKD,EQTY,,,
832,3633,ZHONGYU ENERGY,HKD,EQTY,,,
833,3660,QFIN-S,HKD,EQTY,,,
834,3668,YANCOAL AUS,HKD,EQTY,,,
835,3677,ZENERGY,HKD,EQTY,,,
836,3680,RUIHE DATA,HKD,EQTY,,Add,
837,3690,MEITUAN-W,HKD,EQTY,,,
838,3692,HANSOH PHARMA,HKD,EQTY,,,
839,3696,INSILICO,HKD,EQTY,,,
840,3698,HUISHANG BANK,HKD,EQTY,,,
841,3709,EEKA FASHION,HKD,EQTY,,,
842,3738,VOBILE GROUP,HKD,EQTY,,,
843,3750,CATL,HKD,EQTY,,,
844,3759,PHARMARON,HKD,EQTY,,,
845,3788,HANKING GOLD,HKD,EQTY,,,
846,3800,GCL TECH,HKD,EQTY,,,
847,3808,SINOTRUK,HKD,EQTY,,,
848,3858,JIAXIN INTL RES,HKD,EQTY,,,
849,3866,BQD,HKD,EQTY,,,
850,3868,XINYI ENERGY,HKD,EQTY,,,
851,3877,CSSC SHIPPING,HKD,EQTY,,,
852,3881,CIDI,HKD,EQTY,,Add,
853,3887,HASHKEY HLDGS,HKD,EQTY,,Add,
854,3888,KINGSOFT,HKD,EQTY,,,
855,3896,KINGSOFT CLOUD,HKD,EQTY,,,
856,3898,TIMES ELECTRIC,HKD,EQTY,,,
857,3899,CIMC ENRIC,HKD,EQTY,,,
858,3900,GREENTOWN CHINA,HKD,EQTY,,,
859,3908,CICC,HKD,EQTY,,,
860,3918,NAGACORP,HKD,EQTY,,,
861,3928,CHINA NEXT-GEN,HKD,EQTY,,,
862,3931,CALB,HKD,EQTY,,,
863,3933,UNITED LAB,HKD,EQTY,,,
864,3939,WANGUO GOLD GP,HKD,EQTY,,,
865,3958,DFZQ,HKD,EQTY,,,
866,3968,CM BANK,HKD,EQTY,,,
867,3969,CHINA CRSC,HKD,EQTY,,,
868,3978,BESTSTUDY EDU,HKD,EQTY,,,
869,3983,CHINA BLUECHEM,HKD,EQTY,,,
870,3986,GIGADEVICE,HKD,EQTY,,,
871,3988,BANK OF CHINA,HKD,EQTY,,,
872,3990,MIDEA REAL EST,HKD,EQTY,,,
873,3993,CMOC,HKD,EQTY,,,
874,3996,CH ENERGY ENG,HKD,EQTY,,,
875,3998,BOSIDENG,HKD,EQTY,,,
876,4332,AMGEN-T,HKD,EQTY,,,
877,4333,CISCO-T,HKD,EQTY,,,
878,4335,INTEL-T,HKD,EQTY,,,
879,4336,APPL MATERIAL-T,HKD,EQTY,,,
880,4337,STARBUCKS-T,HKD,EQTY,,,
881,4338,MICROSOFT-T,HKD,EQTY,,,
882,6030,CITIC SEC,HKD,EQTY,,,
883,6031,SANY HEAVY IND,HKD,EQTY,,,
884,6049,POLY PPT SER,HKD,EQTY,,,
885,6055,CTIHK,HKD,EQTY,,,
886,6060,ZA ONLINE,HKD,EQTY,,,
887,6066,CSC,HKD,EQTY,,,
888,6069,SY HOLDINGS,HKD,EQTY,,,
889,6078,HYGEIA HEALTH,HKD,EQTY,,,
890,6082,BIREN TECH,HKD,EQTY,,,
891,6088,FIT HON TENG,HKD,EQTY,,,
892,6098,CG SERVICES,HKD,EQTY,,,
893,6099,CMSC,HKD,EQTY,,,
894,6110,TOPSPORTS,HKD,EQTY,,,
895,6127,JOINN,HKD,EQTY,,,
896,6160,BEONE MEDICINES,HKD,EQTY,,,
897,6166,CIG,HKD,EQTY,,,
898,6168,ZHOU LIU FU,HKD,EQTY,,,
899,6178,EB SECURITIES,HKD,EQTY,,,
900,6181,LAOPU GOLD,HKD,EQTY,,,
901,6185,CANSINOBIO,HKD,EQTY,,,
902,6186,CHINA FEIHE,HKD,EQTY,,,
903,6196,BANKOFZHENGZHOU,HKD,EQTY,,,
904,6198,QINGDAO PORT,HKD,EQTY,,,
905,6199,BANK OF GUIZHOU,HKD,EQTY,,,
906,6600,ONEROBOTICS,HKD,EQTY,,,
907,6613,LENS,HKD,EQTY,,,
908,6616,GLOBAL NEW MAT,HKD,EQTY,,,
909,6618,JD HEALTH,HKD,EQTY,,,
910,6636,EXTREME VISION,HKD,EQTY,,Add,
911,6651,51WORLD,HKD,EQTY,,,
912,6655,HX BLDG MAT,HKD,EQTY,,,
913,6656,SIGENERGY,HKD,EQTY,,,
914,6658,LIULIUMEI,HKD,EQTY,,Add,
915,6669,ACOTEC-B,HKD,EQTY,,,
916,6680,JLMAG,HKD,EQTY,,,
917,6682,PHANCY,HKD,EQTY,,,
918,6683,STARPLUS LEGEND,HKD,EQTY,,,
919,6686,NOAH HOLDINGS,HKD,EQTY,,,
920,6687,JST GROUP,HKD,EQTY,,,
921,6690,HAIER SMARTHOME,HKD,EQTY,,,
922,6693,CHIFENG GOLD,HKD,EQTY,,,
923,6699,ANGELALIGN,HKD,EQTY,,,
924,6806,SWHY,HKD,EQTY,,,
925,6808,SUNART RETAIL,HKD,EQTY,,,
926,6809,MONTAGE TECH,HKD,EQTY,,,
927,6810,SUNMI TECH-W,HKD,EQTY,,Add,
928,6818,CEB BANK,HKD,EQTY,,,
929,6821,ASYMCHEM,HKD,EQTY,,,
930,6823,HKT-SS,HKD,EQTY,,,
931,6831,GREEN TEA GROUP,HKD,EQTY,,,
932,6855,ASCENTAGE,HKD,EQTY,,,
933,6862,HAIDILAO,HKD,EQTY,,,
934,6865,FLAT GLASS,HKD,EQTY,,,
935,6869,YOFC,HKD,EQTY,,,
936,6880,MOMENTA-W,HKD,EQTY,,,
937,6881,CGS,HKD,EQTY,,,
938,6886,HTSC,HKD,EQTY,,,
939,6887,SUNSHINE PHARMA,HKD,EQTY,,,
940,6936,SF HOLDING,HKD,EQTY,,,
941,6938,RIBOLIFE-B,HKD,EQTY,,Add,
942,6960,SHUANGDENG,HKD,EQTY,,Add,
943,6963,SUNSHINE INS,HKD,EQTY,,,
944,6969,SMOORE INTL,HKD,EQTY,,,
945,6979,ZJLD,HKD,EQTY,,,
946,6990,SKB BIO,HKD,EQTY,,,
947,6993,BLUE MOON GROUP,HKD,EQTY,,,
948,6996,ANTENGENE-B,HKD,EQTY,,,
949,6998,EDDING GENOR,HKD,EQTY,,,
950,7200,FL2 CSOP HSI,HKD,TRST,YES,,
951,7226,XL2CSOPHSTECH,HKD,TRST,YES,,
952,7233,XL2CSOPCSI300,HKD,TRST,YES,,
953,7234,XL2 BOS CHINEXT,HKD,TRST,YES,,
954,7261,FL2CAMNDQ100,HKD,TRST,YES,,
955,7262,FL2 CSOP NIKKEI,HKD,TRST,YES,,
956,7266,FL2CSOPNASDAQ,HKD,TRST,YES,,
957,7288,FL2 CSOP HSCEI,HKD,TRST,YES,,
958,7299,FL2CSOPGOLD,HKD,TRST,YES,,
959,7300,FI CSOP HSI,HKD,TRST,YES,,
960,7311,XI2CSOPCOIN,HKD,TRST,YES,,
961,7347,XI2CSOPSMSN,HKD,TRST,YES,,
962,7366,XI2CSOPTSLA,HKD,TRST,YES,,
963,7376,FI CSOP BTC,HKD,TRST,YES,,
964,7388,XI2CSOPNVDA,HKD,TRST,YES,,
965,7399,XI2CSOPMSTR,HKD,TRST,YES,,
966,7489,VOYAH AUTO,HKD,EQTY,,Add,
967,7500,FI2 CSOP HSI,HKD,TRST,YES,,
968,7515,FI2 CSOP NIKKEI,HKD,TRST,YES,,
969,7522,FI2CAMNDQ100,HKD,TRST,YES,,
970,7552,XI2CSOPHSTECH,HKD,TRST,YES,,
971,7568,FI2CSOPNASDAQ,HKD,TRST,YES,,
972,7588,FI2 CSOP HSCEI,HKD,TRST,YES,,
973,7618,JD INDUSTRIALS,HKD,EQTY,,,
974,7666,METIS TECHBIO-P,HKD,EQTY,,Add,
975,7709,XL2CSOPHYNIX,HKD,TRST,YES,,
976,7711,XL2CSOPCOIN,HKD,TRST,YES,,
977,7747,XL2CSOPSMSN,HKD,TRST,YES,,
978,7766,XL2CSOPTSLA,HKD,TRST,YES,,
979,7777,XL2CSOPBRKB,HKD,TRST,YES,,
980,7788,XL2CSOPNVDA,HKD,TRST,YES,,
981,7799,XL2CSOPMSTR,HKD,TRST,YES,,
982,8137,HONBRIDGE,HKD,EQTY,,,
983,8148,WUXI LIFE,HKD,EQTY,,Add,
984,8279,AGTECH HOLDINGS,HKD,EQTY,,,
985,8299,GT GOLD,HKD,EQTY,,,
986,9001,PP CNUSDPROP-U,USD,TRST,YES,,
987,9002,A MBC BTCGOLD-U,USD,TRST,YES,,
988,9008,BOS HSK BTC-U,USD,TRST,YES,,
989,9009,BOS HSK ETH-U,USD,TRST,YES,,
990,9010,ISHARES AXJ-U,USD,TRST,YES,,
991,9011,A CICC USD-U,USD,TRST,YES,,
992,9031,FG HS HIGHDIV-U,USD,TRST,YES,,
993,9040,GX MSCI CHINA-U,USD,TRST,YES,,
994,9042,CAM BTC-U,USD,TRST,YES,,
995,9046,CAM ETH-U,USD,TRST,YES,,
996,9047,F SSIFIRONORE-U,USD,TRST,YES,,
997,9064,GX APAC-U,USD,TRST,YES,,
998,9067,ISHARESHSTECH-U,USD,TRST,YES,,
999,9069,CAM HSBIOTECH-U,USD,TRST,YES,,
1000,9070,PING AN HKDIV-U,USD,TRST,YES,,
1001,9074,ISHARESMSCITW-U,USD,TRST,YES,,
1002,9075,GX ASUSD BOND-U,USD,TRST,YES,,
1003,9077,PREMIA UST-U,USD,TRST,YES,,
1004,9078,PREMIA UST A-U,USD,TRST,YES,,
1005,9081,VALUEGOLD ETF-U,USD,TRST,YES,,
1006,9084,A GX INDIA-U,USD,TRST,,,
1007,9086,CAM NASDAQ100-U,USD,TRST,YES,,
1008,9088,CAM HS TECH-U,USD,TRST,YES,,
1009,9096,A CSOP USD MM-U,USD,TRST,YES,,
1010,9102,ICBCU KS KWEB-U,USD,TRST,YES,,
1011,9104,A GX EM ASIA-U,USD,TRST,,,
1012,9107,BOS 20 UST A-U,USD,TRST,YES,,
1013,9115,ISHARESHSI-U,USD,TRST,YES,,
1014,9140,CAM HKUS AI-U,USD,TRST,YES,,
1015,9141,CAM ASIA IGB-U,USD,TRST,YES,,
1016,9146,CAM 20 UST-U,USD,TRST,YES,,
1017,9151,PREMIA STAR50-U,USD,TRST,YES,,
1018,9156,BOS 20 UST-U,USD,TRST,YES,,
1019,9159,PREMIA TW50A-U,USD,TRST,YES,,
1020,9167,ICBCCSOPCHINA-U,USD,TRST,YES,,
